Geo,Name,State
"35.4192432263, -97.3929111652",Tinker AFB,Oklahoma
"38.805160992, -76.8744374247",Andrews AFB,Maryland
"40.6612430627, -86.1426433901",Grissom AFB,Indiana
"32.9631678645, -79.9639295206",NWS Charleston,South Carolina
"34.6687857751, -99.2708984387",Altus AFB,Oklahoma
"29.675677531, -85.347100439",Cape San Blas Tracking Annex D-3,Florida
"32.759212787, -105.930796486",Boles Annex,New Mexico
"29.3567402048, -100.782946259",Laughlin AFB,Texas
"34.7135684289, -120.558133151",Vandenberg AFB,California
"38.7408662119, -104.84329656",Cheyenne Mountain AFS,Colorado
"29.6910786199, -98.5616635721",Camp Bullis,Texas
"37.0827735, -76.362001",Langley AFB,Virginia
"61.2656742432, -149.641106773",Fort Richardson,Alaska
"37.3057452763, -116.171998438",Nellis Air Force Range,Nevada
"32.4070016151, -86.2462600189",Maxwell AFB Gunter Annex,Alabama
"38.5912194516, -90.2083428158",St Louis AFS,Missouri
"40.0272402409, -74.3754113769",Lakehurst,New Jersey
"27.6469986418, -81.2771811934",Avon Park AF Range,Florida
"38.5503468609, -121.278566709",Mather AFB,California
"33.2559394983, -79.9888973082",NWS Charleston Short Stay,South Carolina
"18.5094327136, -67.0991288094",Ramey AF Solar Observatory Research Site,Puerto Rico
"40.4954379805, -113.559394785",Utah Test and Training Range South,Utah
"39.125370642, -75.4678392417",Dover AFB,Delaware
"52.721036906, 174.107140074",Eareckson AS,Alaska
"38.9991596818, -104.999644284",The Farish Memorial Recreational Annex,Colorado
"38.4161872643, -90.3986079964",NGA Arnold Site,Missouri
"35.7144874693, -75.8785620838",Dare County Range,North Carolina
"41.1648044086, -104.8632088",F E Warren AFB,Wyoming
"48.7245309314, -97.9030701569",Cavalier AS,North Dakota
"38.9984995403, -104.870076577",USAF Academy,Colorado
"30.6490705604, -86.5276912133",Eglin AFB Auxiliary Field  3,Florida
"29.5647013816, -97.9056493053",Seguin Air Force Auxiliary Field,Texas
"32.160608121, -110.848714906",Davis-Monthan AFB,Arizona
"38.7602949057, -104.301351987",USAF Academy Auxiliary Airfield,Colorado
"27.8436157481, -82.5010378881",MacDill AFB,Florida
"37.8841719261, -116.768214328",Tonopah Auxiliary Airfield Annex  2,Nevada
"18.0048012563, -66.2781860837",Salinas N00207-JA,Puerto Rico
"47.6186582249, -117.648382681",Fairchild AFB,Washington
"30.4291969826, -86.698712112",Hurlburt Field,Florida
"38.5414818076, -89.8537036559",Scott AFB,Illinois
"32.89932731, -80.0504311436",Charleston AFB,South Carolina
"40.0037170669, -74.5240459967",Dix,New Jersey
"33.9811765342, -77.9163007268",Fort Fisher Recreation Site,North Carolina
"32.3830000351, -86.3562660173",Maxwell AFB,Alabama
"29.4595258058, -98.4407060608",Fort Sam Houston,Texas
"30.631764985, -86.7409720555",Eglin AFB Auxiliary Field  6,Florida
"41.1281223933, -111.99124872",Hill AFB,Utah
"42.458926277, -71.2771089622",Hanscom AFB,Massachusetts
"29.8854754904, -98.2185402692",Canyon Lake Recreation Annex,Texas
"43.1138099129, -70.8147657452",Newington Defense Fuel Support Point,New Hampshire
"64.2884384307, -149.191567325",Clear AB,Alaska
"38.662840423, -121.403205955",McClellan AFB,California
"48.4210386467, -101.338314421",Minot AFB,North Dakota
"43.1269235478, -75.5912449791",Verona Defense Fuel Support Point,New York
"29.3867060451, -98.6180830931",Lackland AFB,Texas
"35.3646392146, -86.0796716743",Arnold AS,Tennessee
"33.9746417957, -80.4704034507",Shaw AFB,South Carolina
"30.4078316139, -88.921617867",Keesler AFB,Mississippi
"36.5871865337, -115.67656906",Creech AFB,Nevada
"42.9370925829, -71.6412487438",New Boston AS,New Hampshire
"38.8918404696, -123.546574105",Point Arena AFS,California
"27.6501685196, -81.343733708",Arbuckle Airfield,Florida
"47.9486816233, -97.0860532381",Defense Fuel Support Point,North Dakota
"43.2214961422, -75.4097019987",Rome Laboratory,New York
